date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:14	28526/28526	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2018%20Aug%202017%2002:07:23%20GMT	http://zdnet4.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/smart-city-header-bg.jpg	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet4.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/smart-city-header-bg.jpg	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:14	22429/22429	---M-Z	200	added ('OK')	image/png	date:Fri,%2018%20Aug%202017%2002:07:23%20GMT	http://zdnet2.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/sprites.png	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet2.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/sprites.png	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:15	997/997	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Aug%202017%2002:07:23%20GMT	http://zdnet3.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/arrow.png	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet3.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/arrow.png	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:15	265/265	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Aug%202017%2002:07:23%20GMT	http://zdnet3.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/menu.png	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet3.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/core/menu.png	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:15	84798/84798	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2018%20Aug%202017%2002:07:23%20GMT	http://zdnet1.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/features/hub/hub-header-bg.jpg	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet1.cbsistatic.com/fly/1503022043-fly/bundles/zdnetcss/images/features/hub/hub-header-bg.jpg	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:15	162/162	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2023%20Aug%202017%2007:24:15%20GMT	http://zdnet4.cbsistatic.com/fly/images/core/btn-loader.gif	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet4.cbsistatic.com/fly/images/core/btn-loader.gif	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:16	2459/2459	---M-Z	200	added ('OK')	image/png	date:Thu,%2010%20Aug%202017%2016:20:18%20GMT	http://zdnet2.cbsistatic.com/fly/images/sprites/icons-red-sb8eaaf1c68.png	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet2.cbsistatic.com/fly/images/sprites/icons-red-sb8eaaf1c68.png	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:16	3531/3531	---M-Z	200	added ('OK')	image/png	date:Thu,%2010%20Aug%202017%2016:20:18%20GMT	http://zdnet1.cbsistatic.com/fly/images/sprites/icons-red-2x-se37f1b7688.png	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet1.cbsistatic.com/fly/images/sprites/icons-red-2x-se37f1b7688.png	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:16	2502/2502	---M-Z	200	added ('OK')	image/png	date:Thu,%2010%20Aug%202017%2016:20:19%20GMT	http://zdnet4.cbsistatic.com/fly/images/sprites/icons-black-sf4f01937e2.png	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet4.cbsistatic.com/fly/images/sprites/icons-black-sf4f01937e2.png	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
14:24:16	3531/3531	---M-Z	200	added ('OK')	image/png	date:Thu,%2010%20Aug%202017%2016:20:19%20GMT	http://zdnet1.cbsistatic.com/fly/images/sprites/icons-black-2x-seb714f9f61.png	C:/Users/trung%20anh/Desktop/techsite/asa/zdnet1.cbsistatic.com/fly/images/sprites/icons-black-2x-seb714f9f61.png	(from http://zdnet4.cbsistatic.com/fly/css/core/main-92b99b07b2-rev.css)
